,Nom,Nom prénom de la Directrice,Contacts,Adresse,Ville,EPCI,Structures de la parentalité,Activités
1,AEP Ass enfants Parents,LOUDAC Jacqueline,enfantsparents971@gmail.com,"EVS ENFANTS PARENTS Vieux-Bourg
97139 Les Abymes",Les Abymes,Cap Excellence,Parentalité,
1,AJTS,GIFT  Julien,rodriguegift1970@gmail.com,"AJTS
18 COUR TERRAIN SONIS
97139 Les Abymes",Les Abymes,Cap Excellence,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Accès aux droits,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Mobilité / transport,Insertion professionnelle et accès à l’emploi,Lutte contre les discriminations"
1,AMICAL CLUB DARBOUSSIER (ACD) ou Centre Social Claude Gilbert,Claude Gilbert,contact@ac-darboussier.fr,"AMICAL CLUB DARBOUSSIER (ACD)
Résidence Patrick Forbin, rue du Chemin Neuf
97110 Pointe-à-Pitre",Pointe-à-Pitre,Cap Excellence,Parentalité,"Parentalité,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Accès aux droits,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Logement / habitat,Mobilité / transport,,"
1,CENTRE SOCIAL DE LACROIX,ACCAJOU Nadine,naccajou@ville-des-abymes.fr,rue Julienne FIATA Lacroix 97139 Les Abymes,Les Abymes,Cap Excellence,Parentalité,"Parentalité,Accès aux loisirs,Accès aux vacances,Accès au sport,Accès aux droits,Numérique,Citoyenneté et cohésion sociale,,,,,,"
,UDAF VFE,,netilce@udaf971.fr,,,,,
1,CENTRE SOCIAL DE MOUDONG,PALAMEDE andré,andre.palamede@baiemahault.fr,"CENTRE SOCIAL DE MOUDONG
Rue HYZIRIN François RALIURE dit BAGUY
97122 Baie-Mahault",Baie-Mahault,Cap Excellence,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Accès aux droits,Ecologie et environnement,Citoyenneté et cohésion sociale,Accès aux soins ,Lutte contre les discriminations,,"
1,CENTRE SOCIAL GRAND CAMP,ESNARD Tatiana,tesnard@ville-des-abymes.fr,"CENTRE SOCIAL GRAND CAMP
Boulevard de l'Union, Grand Camp
97139 Les Abymes",Les Abymes,Cap Excellence,Parentalité,"Parentalité,Accès aux loisirs,Accès à la culture,Accès au sport,Accès aux droits,Numérique,Accès aux soins ,Logement / habitat,Mobilité / transport,Insertion professionnelle et accès à l’emploi,,"
1,CENTRE SOCIAL LAPWENT,MERI Manuel,directeur.cslapwent@asso-accors.org,"CENTRE SOCIAL LAPWENT
Résidence Espérance , rue Euvremont Gêne - Lauricisque
97110 Pointe-à-Pitre",Pointe-à-Pitre,Cap Excellence,Parentalité,"Education,Accès aux loisirs,Accès à la culture,Accès au sport,Accès aux droits,Ecologie et environnement,Citoyenneté et cohésion sociale,Lutte contre les discriminations,,,,,"
1,CENTRE SOCIAL PETIT PEROU,FANHAN Patrice,"pfanhan@ville-des-abymes.fr
","CENTRE SOCIAL PETIT PEROU
Petit Perou
97139 Les Abymes
","Les Abymes
",Cap Excellence,Parentalité,"Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Accès aux droits,Numérique,Accès aux soins ,Logement / habitat,,,"
,MAISON DES JEUNES ET DE LA CULTURE DES ABYMES,,rich-art@live.fr,"MAISON DES JEUNES ET DE LA CULTURE DES ABYMES
Route du stade René- Serge Nabajoth PROVIDENCE
97139 Les Abymes",,,,
1,CENTRE SPORTIF SOCIO-CULTUREL EMMANUEL ALBON,FOSTIN Ingrid,ifostin@ville-des-abymes.fr,"CENTRE SPORTIF SOCIO-CULTUREL EMMANUEL ALBON
rue Eglise Raizet 97139   Les Abymes ",Les Abymes,Cap Excellence,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux droits,Numérique,,,,,,"
,LA  KRIZALID- LA BELLE CREOLE,,msandoz@federationlabellecreole.fr,"LA BELLE CREOLE - LA KRIZALID
1 Résidence Raphael Arnassalon Circonvallation
97100 Basse-Terre",,,,
,LA  KRIZALID- LA BELLE CREOLE,,rromuald@federationlabellecreole.fr,"LA BELLE CREOLE - LA KRIZALID
1 Résidence Raphael Arnassalon Circonvallation
97100 Basse-Terre",,,,
1,FAIR +,JOURNEAU Sandra ,assos.fairplus@gmail.com,"FAIR +
Rés 2ème Pont Rue Inter Qu Bât 9LCR Chez M. ROBERT CAMBRONE SONIS
97139 Les Abymes",Les Abymes,Cap Excellence,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Accès aux droits,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Accès aux soins ,Logement / habitat,Lutte contre les discriminations"
1,FOR'ACC,M'BAYE Myriam,"association.foracc@gmail.com
","FOR'ACC
RELAIS POSTAL MARINA - Immeuble Karukera Marine - Boite n°75
97110 Pointe-à-Pitre",Pointe-à-Pitre,Cap Excellence,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Numérique,Ecologie et environnement,Ecologie et environnement,,,"
,CENTRE SOCIAL BELLE EAU,,monette.loza@orange.fr,,,,,
1,FROMAGER,,asso.fromager@gmail.com,"FROMAGER
11 Résidence Filaos Lacroix
97139 Les Abymes
",Les Abymes,Cap Excellence,Parentalité,"Parentalité,Citoyenneté et cohésion sociale,,,,,,,,,,"
1,LA TYROLIENNE,NANETTE Erick,ass.latyrolienne@orange.fr,"LA TYROLIENNE
LCR Esc 5 Marie Nicolas Résidence Paul Moueza
97110 Pointe-à-Pitre",Pointe-à-Pitre,Cap Excellence,Parentalité,"Accès aux loisirs,Accès à la culture,Accès au sport,Accès aux droits,Ecologie et environnement,Citoyenneté et cohésion sociale,Accès aux soins ,Mobilité / transport,Lutte contre les discriminations,,,
"
,CENTRE SOCIAL LAPWENT,,,,,,,
,CENTRE SOCIAL LAPWENT,,jm.calmel@asso-accors.org,,,,,
1,MAISON DES JEUNES ET DE LA CULTURE DES ABYMES,JAVOIS jean,"mjcabymes@wanadoo.fr
","MAISON DES JEUNES ET DE LA CULTURE DES ABYMES
Route du stade René- Serge Nabajoth PROVIDENCE
97139 Les Abymes",Les Abymes,Cap Excellence,Parentalité,"Parentalité,Education,Accès aux loisirs,Accès à la culture,Accès aux vacances,Accès au sport,Accès aux droits,Numérique,Ecologie et environnement,Citoyenneté et cohésion sociale,Accès aux soins ,Lutte contre les discriminations,
"
1,100%FAMILLE,MONTELLA Thierry ,asso100famille@gmail.com,"100%FAMILLE Local E6, Résidence de la plage les Basses
97112 Grand-Bourg",Grand-Bourg,Communauté de communes de Marie-Galante (CCMG),Parentalité,
,CENTRE SOCIAL LES MIOCHES CARMONT,,lesmiochescarmont@gmail.com,,,,,
1,Ambition Marie Galante,BERSY Betty,bettybesry@gmail.com,"Ambition Marie Galante  SECTION PICHERY
97140 Capesterre-de-Marie-Galante",Capesterre-de-Marie-Galante,Communauté de communes de Marie-Galante (CCMG),Parentalité,
,AMICAL CLUB DARBOUSSIER (ACD),,jfarnolin1@gmail.com,"AMICAL CLUB DARBOUSSIER (ACD)
Résidence Patrick Forbin, rue du Chemin Neuf
97110 Pointe-à-Pitre",,,,
,AMICAL CLUB DARBOUSSIER (ACD),,directeur@ac-darboussier.fr,"AMICAL CLUB DARBOUSSIER (ACD)
Résidence Patrick Forbin, rue du Chemin Neuf
97110 Pointe-à-Pitre",,,,
